trade_id,market_id,direction,contracts,entry_price_pm,im_usd,entry_timestamp,status
dryrun-1764591754,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.45,50.0,2025-12-01T12:22:34.658873+00:00,DRY_RUN
dryrun-1764591788,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.45,50.0,2025-12-01T12:23:08.605840+00:00,DRY_RUN
dryrun-1764591963,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.45,50.0,2025-12-01T12:26:03.569812+00:00,DRY_RUN
dryrun-1764592792,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.9725,0.0,2025-12-01T12:39:52.624465+00:00,DRY_RUN
dryrun-1764592916,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.9725,0.0,2025-12-01T12:41:56.541805+00:00,DRY_RUN
dryrun-1764607550,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.9725,0.0,2025-12-01T16:45:50.043497+00:00,DRY_RUN
dryrun-1764607550,manual-73598490064107318565005114994104398195344624125668078818829746637727926056405,yes,1.0,0.9725,0.0,2025-12-01T16:45:50.090582+00:00,DRY_RUN
