timestamp,market_title,asset,investment,selected_strategy,market_id,pm_event_title,pm_market_title,pm_event_id,pm_market_id,yes_token_id,no_token_id,inst_k1,inst_k2,spot,poly_yes_price,poly_no_price,deribit_prob,K1,K2,K_poly,T,days_to_expiry,sigma,r,k1_bid_btc,k1_ask_btc,k2_bid_btc,k2_ask_btc,net_ev_strategy1,gross_ev_strategy1,total_cost_strategy1,open_cost_strategy1,holding_cost_strategy1,close_cost_strategy1,contracts_strategy1,im_usd_strategy1,im_btc_strategy1,net_ev_strategy2,gross_ev_strategy2,total_cost_strategy2,open_cost_strategy2,holding_cost_strategy2,close_cost_strategy2,contracts_strategy2,im_usd_strategy2,im_btc_strategy2,best_ask_strategy1,best_bid_strategy1,mid_price_strategy1,spread_strategy1,best_ask_strategy2,best_bid_strategy2,mid_price_strategy2,spread_strategy2,slippage_rate_used
2025-11-28 03:26:37,"90,000",BTC,1000.0,1,BTC_90000,Bitcoin above ___ on November 29?,"90,000",87819,697288,81815754801528825279532756258852044849512460594488631632224612258851904691790,49512871726267988101257105612684428423125611846164176454062321500051558184639,BTC-29NOV25-89000-C,BTC-29NOV25-91000-C,91188.86,0.7,0.3,0.7140242895473534,89000.0,91000.0,90000.0,0.0032599237501046673,1.1898721687882035,0.4035,0.05,0.0245,0.027,0.009,0.0095,-59.59100194949478,-32.698185638341556,26.892816311153222,26.69529638798565,0.17251992316757445,0.025,0.6700632000000001,58.42919278118279,0.00064074924043554,-197.54743384813486,-120.11125543983428,77.43617840830058,47.2778586197446,0.743664616729972,29.41465517182601,1.724137931,3562.466325821854,0.03906690275349263,0.74,0.71,0.725,0.030000000000000027,0.29,0.26,0.275,0.02999999999999997,0.00837604
2025-11-28 03:26:54,"92,000",BTC,1000.0,2,BTC_92000,Bitcoin above ___ on November 29?,"92,000",87819,697289,106710064543960969896968260349381965541083764990224560550601034035418490048761,26338925319816157118343599455740189799035270046771759934583855351491986108769,BTC-29NOV25-91000-C,BTC-29NOV25-93000-C,91188.3,0.33,0.67,0.3324822892261966,91000.0,93000.0,92000.0,0.003259405473272671,1.189682997744525,0.3604,0.05,0.009,0.0095,0.0018,0.0021,-639.9696450620852,-546.1119631228064,93.85768193927879,69.25236420076523,0.5676065777975631,24.037711160715993,1.343894737,2482.8841176832557,0.027228099632115695,41.10439713767964,90.66824157275849,49.56384443507885,35.244587666149236,0.18895315946655092,14.130303609463061,0.7463913434999999,159.43328325351763,0.0017483962663358964,0.36,0.34,0.35,0.019999999999999962,0.66,0.64,0.65,0.020000000000000018,0.014984649999999999
2025-11-28 03:27:37,"84,000",BTC,1000.0,1,BTC_84000,Bitcoin above ___ on November 29?,"84,000",87819,697285,28883457739607419220012667036703628259320762195632431454157669434825036546517,95077067030653610623524264749274619036242203065443894000036587061144467189212,BTC-29NOV25-83000-C,BTC-29NOV25-85000-C,91197.44,0.9875,0.0125,0.9819007230854662,83000.0,85000.0,84000.0,0.0032580380561553785,1.1891838904967131,0.6826000000000001,0.05,0.0525,0.126,0.067,0.0695,-467.385143590584,-450.7604824701807,16.62466112040327,16.122347786559594,0.17157104144370522,0.3307422923999708,0.5028656125,53.21692679161788,0.0005835353140572572,-7129.279345947662,-6095.0263833756,1034.252962572062,956.6763353434516,2.6989930705673184,74.87763415804301,6.5764043365,15568.210831473487,0.1707088579621696,0.992,0.983,0.9875,0.009000000000000008,0.017,0.008,0.0125,0.009000000000000001,0.00231999
2025-11-28 03:27:56,"86,000",BTC,1000.0,1,BTC_86000,Bitcoin above ___ on November 29?,"86,000",87819,697286,27800452756084368384831675033293439211664118040338860536533383442548670477918,100756437544202618773020052264023061166384488910473506734219329202022787876824,BTC-29NOV25-85000-C,BTC-29NOV25-87000-C,91197.17,0.978,0.022,0.9652946624786848,85000.0,87000.0,86000.0,0.003257420162214476,1.1889583592082837,0.5628,0.05,0.067,0.0695,0.045,0.0475,258.11556380719895,272.38887197409326,14.273308166894315,14.072416246980664,0.17589191991365177,0.025,0.5054636365,79.94616079293883,0.0008766298427126503,104.96575205737952,985.9535605412464,880.9878084838668,778.1720012400827,2.519703086444056,100.29610415733998,6.807271158,14470.543933338333,0.1586731686228677,0.989,0.97,0.9795,0.019000000000000017,0.03,0.011,0.020499999999999997,0.019,0.00019296
2025-11-28 03:28:14,"88,000",BTC,1000.0,1,BTC_88000,Bitcoin above ___ on November 29?,"88,000",87819,697287,59651031414633192000503720202193522483397573043018378224120918555281600219683,108175793362895601194133717476844969981352440149061806395933055825109613288716,BTC-29NOV25-87000-C,BTC-29NOV25-89000-C,91196.1,0.93,0.07,0.9067962297821521,87000.0,89000.0,88000.0,0.003256869654182732,1.1887574237766974,0.4705,0.05,0.045,0.0475,0.0245,0.027,241.3975263857856,256.04653114940686,14.649004763621262,14.450700000721286,0.1733047628999751,0.025,0.5263157895,64.24131943630755,0.0007044305560907489,-565.3689060606981,-198.20195262024345,367.1669534404547,284.64683916329057,2.006757602499084,80.51335667466502,5.3953852175,11323.229453913484,0.12416352732094336,0.95,0.92,0.935,0.029999999999999916,0.08,0.05,0.065,0.03,-0.0
2025-11-28 03:28:31,"90,000",BTC,1000.0,1,BTC_90000,Bitcoin above ___ on November 29?,"90,000",87819,697288,81815754801528825279532756258852044849512460594488631632224612258851904691790,49512871726267988101257105612684428423125611846164176454062321500051558184639,BTC-29NOV25-89000-C,BTC-29NOV25-91000-C,91173.04,0.7,0.3,0.7113685519307096,89000.0,91000.0,90000.0,0.0032563157699561735,1.1885552560340034,0.4039,0.05,0.0245,0.027,0.009,0.0095,-60.91754591891882,-34.02808972512557,26.88945619379325,26.692116268038447,0.17233992575480414,0.025,0.6700632000000001,58.49639856716749,0.0006415975442649219,-196.85890707461783,-119.43171928724587,77.42718778737196,47.269675861124064,0.7428567544218856,29.41465517182601,1.724137931,3562.559695688749,0.03907470558937981,0.74,0.71,0.725,0.030000000000000027,0.29,0.26,0.275,0.02999999999999997,0.00837604
2025-11-28 03:28:47,"92,000",BTC,1000.0,2,BTC_92000,Bitcoin above ___ on November 29?,"92,000",87819,697289,106710064543960969896968260349381965541083764990224560550601034035418490048761,26338925319816157118343599455740189799035270046771759934583855351491986108769,BTC-29NOV25-91000-C,BTC-29NOV25-93000-C,91172.55,0.33,0.67,0.32939372217727847,91000.0,93000.0,92000.0,0.0032558179705661906,1.1883735592566596,0.3605,0.05,0.009,0.0095,0.0017,0.0021,-639.8832037903851,-543.3404490211325,96.54275476925267,72.03457354914502,0.5692096420995431,23.93897157800811,1.3398684209999998,2496.5692016286575,0.027382904192420388,38.70984746656353,82.85498341524746,44.14513594868393,32.61707027733141,0.1869372180725054,11.341128453280017,0.7484211940000001,148.32720847717906,0.0016268845006219422,0.36,0.34,0.35,0.019999999999999962,0.66,0.64,0.65,0.020000000000000018,0.012231829999999999
2025-11-28 03:29:28,"84,000",BTC,1000.0,1,BTC_84000,Bitcoin above ___ on November 29?,"84,000",87819,697285,28883457739607419220012667036703628259320762195632431454157669434825036546517,95077067030653610623524264749274619036242203065443894000036587061144467189212,BTC-29NOV25-83000-C,BTC-29NOV25-85000-C,91196.51,0.9875,0.0125,0.9819402678572207,83000.0,85000.0,84000.0,0.003254509445949111,1.1878959477714255,0.6826000000000001,0.05,0.0525,0.126,0.067,0.0695,-467.3640385059492,-450.73970359296084,16.624334912988385,16.122207487053707,0.17138513353470522,0.3307422923999708,0.5028656125,53.216384103775454,0.0005835353140572534,-9063.030767154862,-8017.408004780752,1045.6227623741106,947.0692083248124,3.257676424298102,95.295877625,8.0343125,19019.46209345272,0.20855471435752004,0.992,0.983,0.9875,0.009000000000000008,0.017,0.008,0.0125,0.009000000000000001,0.00231999
2025-11-28 03:29:44,"86,000",BTC,1000.0,2,BTC_86000,Bitcoin above ___ on November 29?,"86,000",87819,697286,27800452756084368384831675033293439211664118040338860536533383442548670477918,100756437544202618773020052264023061166384488910473506734219329202022787876824,BTC-29NOV25-85000-C,BTC-29NOV25-87000-C,91196.93,0.979,0.021,0.9653626616107849,85000.0,87000.0,86000.0,0.003253988276597269,1.1877057209580033,0.5628,0.05,0.067,0.0695,0.0455,0.0475,258.2385642747468,272.511654815406,14.273090540659238,14.072379853598834,0.1757106870604045,0.025,0.5054636365,79.97123606202445,0.0008769071070925793,358.95738485548475,1234.7277353234658,875.7703504679811,764.2980181243166,2.6613088681444506,108.81102347551999,7.233113263,15357.212392463869,0.16839615535812302,0.989,0.97,0.9795,0.019000000000000017,0.03,0.011,0.020499999999999997,0.019,1.30421757
2025-11-28 03:30:02,"88,000",BTC,1000.0,1,BTC_88000,Bitcoin above ___ on November 29?,"88,000",87819,697287,59651031414633192000503720202193522483397573043018378224120918555281600219683,108175793362895601194133717476844969981352440149061806395933055825109613288716,BTC-29NOV25-87000-C,BTC-29NOV25-89000-C,91197.27,0.93,0.07,0.9074230395209264,87000.0,89000.0,88000.0,0.0032534276292588977,1.1875010846794978,0.4696,0.05,0.0455,0.0475,0.0245,0.027,263.06506173859964,277.7143413594688,14.649279620869127,14.450884737563399,0.17339488330572642,0.025,0.5263157895,65.92125637799563,0.0007228424313358901,-570.5931720534129,-202.1317177984488,368.4614542549641,284.64873294350184,2.0044721845972275,81.80824912686504,5.3953852175,11322.2177531813,0.12415084084404389,0.95,0.92,0.935,0.029999999999999916,0.08,0.05,0.065,0.03,-0.0
